brand,description,color_material,price
LG," 28 cu.ft. 4 Door French Door with Dual Ice with Craft Ice, Double Freezer and Smart Wi-Fi Enabled", PrintProof Black Stainless Steel,3199.99
Samsung, 17.3 Cu. Ft. Kimchi & Specialty 4-Door French Door Refrigerator with WiFi and Super Precise Cooling, Platinum Bronze,2799.99
Fisher & Paykel, ActiveSmart 20.1 Cu. Ft. French Door Counter-Depth Refrigerator, White,2799.0
LG, 30.8 Cu. Ft. 4-Door French Door Refrigerator with InstaView Door-in-Door, Textured Steel,7999.0
GE, 28.7 Cu. Ft. French Door Refrigerator, Slate,2069.99
GE, Profile Series 27.8 Cu. Ft. French Door Refrigerator, Slate,2994.99
Maytag, 21.7 Cu. Ft. French Door Refrigerator, White on white,2249.99
GE, Profile Series ENERGY STAR® 23.1 Cu. Ft. Counter-Depth Fingerprint Resistant French-Door Refrigerator, Stainless steel,2544.99
Samsung, 24.73 Cu. Ft. 4-Door Flex French Door Fingerprint Resistant Refrigerator, Black stainless steel,2799.99
KitchenAid, 24.2 Cu. Ft. French Door Built-In Refrigerator, Custom Panel Ready,8999.99
LG, 24.5 Cu. Ft. French Door Refrigerator with Wi-Fi, PrintProof Black Stainless Steel,2799.99
Thor Kitchen, 22 5/8 cu. ft. Stainless Steel Counter Depth 4-Door French Door Refrigerator with Ice Maker- Stainless Steel, Stainless steel,2299.99
Whirlpool, 19.7 Cu. Ft. French Door Refrigerator, Black,1899.99
GE, 23.1 Cu. Ft. French Door Counter-Depth Refrigerator, Slate,2454.99
GE, 27 Cu. Ft. French Door Refrigerator, White,1889.99
Fisher & Paykel, Freestanding 32-in 17.1 cu ft Refrigerator Freezer with Ice & Water, Black stainless steel,2499.0
Café, 22.2 Cu. Ft. French Door Counter-Depth Refrigerator, Matte Black,3264.99
GE, 23.8 Cu. Ft. French Door Refrigerator, Black stainless steel,2339.99
Dacor, 21.3 Cu Ft French Door Built In Panel Ready Refrigerator with FreshZone Drawer and Precise Cooling, Panel Ready,6999.0
Whirlpool, 19.7 Cu. Ft. French Door Refrigerator, White,1599.99
GE, 22.1 Cu. Ft. French Door Counter-Depth Refrigerator, Black Slate,2904.99
Samsung, BESPOKE 29 cu. ft. 4-Door Flex™ French Door Refrigerator with WiFi and Customizable Panel Colors, Navy Glass,3099.99
Samsung, 27.8 Cu. Ft. French Door Fingerprint Resistant Refrigerator with Food Showcase, Tuscan Stainless Steel,2789.99
Whirlpool, 20 Cu. Ft. French Door Counter-Depth Refrigerator, White,2199.99
Samsung, Family Hub 27.7 Cu. Ft. 4-Door French Door Fingerprint Resistant Refrigerator, Tuscan Stainless Steel,3509.99
GE, Profile Series 22.2 Cu. Ft. French Door Counter-Depth Refrigerator, Black Slate,2969.99
Bosch, 800 Series 36 in. 20 cu. ft. French 4 Door Refrigerator Counter-Depth, Stainless steel,4439.0
Fisher & Paykel, ActiveSmart 16.9 Cu. Ft. French Door Counter-Depth Refrigerator, Ezkleen Stainless Steel,2599.0
LG, 29.7 Cu. Ft. French Door-in-Door Refrigerator, Black stainless steel,3599.99
GE, 20.8 Cu. Ft. French Door Refrigerator, Stainless steel,1529.99
KitchenAid, 25.2 Cu. Ft. French Door Refrigerator, White,2199.99
LG, 27.5 Cu. Ft. InstaView French Door-in-Door Refrigerator, Black stainless steel,1597.99
Café, 22.2 Cu. Ft. French Door Counter-Depth Refrigerator, Matte White,3264.99
Maytag, 24.7 Cu. Ft. French Door Refrigerator, Black on Black,2199.99
GE, Profile Series ENERGY STAR 27.7 Cu. Ft. Smart Fingerprint Resistant French-Door Refrigerator with Keurig® Brewing System, Stainless steel,3059.99
Samsung, 24.6 Cu. Ft. French Door Refrigerator, White,1999.99
GE, 23.1 Cu. Ft. French Door Counter-Depth Refrigerator, Slate,2544.99
Frigidaire, Gallery Series 21.8 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator, Stainless steel,2879.99
GE, 23.8 Cu. Ft. French Door Refrigerator, Slate,2249.99
GE, 23.8 Cu. Ft. French Door Refrigerator, High Gloss White,2159.99
Whirlpool, 22.1 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,1999.99
Café, 18.6 Cu. Ft. French Door Counter-Depth Refrigerator, Matte Black,2249.99
Fisher & Paykel, ActiveSmart 20.1 Cu. Ft. French Door Refrigerator, Brushed Stainless Steel,3399.0
Maytag, 21.7 Cu. Ft. French Door Refrigerator, Black on Black,2249.99
Café, 18 Cu. Ft. French Door Counter-Depth Refrigerator, Matte White,2499.0
GE, Profile Series 22.2 Cu. Ft. French Door in Door Counter-Depth Refrigerator, Black stainless steel,3149.99
GE, 20.8 Cu. Ft. French Door Refrigerator, Slate,1529.99
GE, 24.8 Cu. Ft. French Door Refrigerator, High Gloss Black,1619.99
Samsung, 28 Cu. Ft. French Door Refrigerator, Stainless steel,2519.99
Fisher & Paykel, ActiveSmart 16.9 Cu. Ft. French Door Counter-Depth Refrigerator, White,2399.0
Whirlpool, 24.7 Cu. Ft. French Door Refrigerator, White,2099.99
Samsung, 19.4 Cu. Ft. French Door Refrigerator, Stainless steel,1349.99
Samsung, 24.7 Cu. Ft. 4-Door French Door Refrigerator with Thru-the-Door Ice and Water, Stainless steel,2699.99
Samsung, 25.5 Cu. Ft. French Door Fingerprint Resistant Refrigerator with Internal Water Dispenser, Black stainless steel,1749.99
LG, 14.3 Cu Ft Kimchi Refrigerator, Platinum Silver,2699.99
Frigidaire, Gallery 27.6 Cu. Ft. French Door Refrigerator, Stainless steel,2114.99
Samsung, 19.5 cu. ft. 3-Door French Door Refrigerator with Wi-Fi, Fingerprint Resistant Black Stainless Steel,1439.99
Monogram, 23.1 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,4130.0
Fisher & Paykel, ActiveSmart 20.1 Cu. Ft. French Door Counter-Depth Refrigerator, Ezkleen Stainless Steel,2899.0
Fisher & Paykel, Series 7 16.9 Cu. Ft. French Door Refrigerator, EZKleen Stainless Steel,2799.0
KitchenAid, 20.8 Cu. Ft. French Door Built-In Refrigerator, White,7699.99
LG, 22.5 Cu. Ft. French InstaView Door-in-Door Counter-Depth 4-Door Refrigerator with WiFi, Black stainless steel,2429.99
JennAir, RISE 21.9 Cu. Ft. French Door Counter-Depth Refrigerator with Gourmet Bay drawer and TriSensor Climate Control, Stainless steel,3699.0
LG, 29.6 Cu. Ft. French Door-in-Door Smart Wi-Fi Enabled Refrigerator, Stainless steel,3419.99
Samsung, 26 cu.ft. French Door with External Water and Ice Dispenser, White,2399.99
LG, 23.5 Cu. Ft. French Door-in-Door Counter-Depth Refrigerator with Craft Ice, PrintProof Black Stainless Steel,3099.99
GE, 27.8 Cu. Ft. French Door Refrigerator, Slate,2814.99
Maytag, 20 Cu. Ft. French Door Counter-Depth Refrigerator, Fingerprint Resistant Stainless Steel,2399.99
Maytag, 24.7 Cu. Ft. French Door Refrigerator, White on white,2199.99
LG, 21.6 Cu. Ft. French Door Refrigerator, Stainless steel,1799.99
Samsung, Family Hub 24.2 Cu. Ft. 3-Door French Door Refrigerator, Stainless steel,2799.99
Whirlpool, 20 Cu. Ft. French Door Counter-Depth Refrigerator, Black,2199.99
GE, 23.8 Cu. Ft. French Door Refrigerator, High Gloss Black,2159.99
Samsung, 25.5 Cu. Ft. French Door Refrigerator with Internal Water Dispenser, White,1549.99
LG, 22.5 Cu. Ft. French InstaView Door-in-Door Counter-Depth 4-Door Refrigerator with WiFi, Stainless steel,3869.99
Whirlpool, 26.2 Cu. Ft. 4-Door French Door Refrigerator, Fingerprint Resistant Black Stainless,3399.99
KitchenAid, 22.1 Cu. Ft. French Door Refrigerator, Stainless steel,2299.99
Whirlpool, 26.8 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Black Stainless,2849.99
Whirlpool, 20 Cu. Ft. French Door Counter-Depth Refrigerator, Fingerprint Resistant Stainless Steel,2299.99
Samsung, 26 cu. ft. 3-Door French Door Refrigerator with CoolSelect Pantry, Stainless steel,2399.99
Samsung, 24.6 Cu. Ft. French Door Fingerprint Resistant Refrigerator, Black stainless steel,2099.99
Maytag, 19.7 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,1749.99
Whirlpool, 25.2 Cu. Ft. French Door Refrigerator, Black,1699.99
Fisher & Paykel, Series 7 36 inch 20.1 cu ft Freestanding French Door Refrigerator, Black,3299.0
GE, Profile Series 27.7 Cu. Ft. Fingerprint Resistant French-Door Refrigerator with Door In Door and Hands-Free AutoFill, Stainless steel,2969.99
Whirlpool, 26.8 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Black Stainless,2949.99
Whirlpool, 19.7 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,1699.99
Bosch, 500 Series 36 in. 21 cu. ft. French 3 Door Refrigerator Counter-Depth with External Water and Ice, Black stainless steel,3099.0
Bertazzoni, Professional Series 21 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,3049.0
Café, 22.2 Cu. Ft. French Door Counter-Depth Refrigerator with Keurig Brewing System, Stainless steel,3264.99
GE, 27 Cu. Ft. French Door Refrigerator, Stainless steel,1709.99
Dacor," 36"" Counter-Depth Free Standing Refrigerator",,3399.0
Whirlpool, 23.8 Cu. Ft. French Door Counter-Depth FingerPrint Resistant Refrigerator, Fingerprint Resistant Stainless Steel,3899.99
LG, 21.8 Cu. Ft. French Door Refrigerator, Black stainless steel,1849.99
Maytag, 22.1 Cu. Ft. French Door Fingerprint Resistant Refrigerator, Fingerprint Resistant Stainless Steel,1999.99
LG, 29.6 Cu. Ft. French Door-in-Door Smart Wi-Fi Enabled Refrigerator, Black stainless steel,3599.99
Samsung, 25.5 Cu. Ft. French Door Fingerprint Resistant Refrigerator, Black stainless steel,1699.99
LG, 23.5 Cu. Ft. French Door Counter-Depth Refrigerator, Black stainless steel,3239.99
Samsung, 25.5 Cu. Ft. French Door Refrigerator with Filtered Ice Maker, Stainless steel,1599.99
Samsung, 25.1 Cu. Ft. French Door Refrigerator with Family Hub, Stainless steel,2426.99
Whirlpool, 24.5 Cu. Ft. 4-Door French Door Refrigerator, White,2399.99
Whirlpool, 25.2 Cu. Ft. French Door Refrigerator with Internal Water Dispenser, White,1799.99
Whirlpool, 25.2 Cu. Ft. French Door Refrigerator with Internal Water Dispenser, Black,1799.99
Café, 27.8 Cu. Ft. French Door Refrigerator with Hot Water Dispenser, Matte White,3264.99
Café, 27.8 Cu. Ft. French Door Refrigerator with Hot Water Dispenser, Matte Black,3264.99
Whirlpool, 22.1 Cu. Ft. French Door Refrigerator, White,1899.99
KitchenAid, 26.8 Cu. Ft. French Door Refrigerator, Black,2744.99
Whirlpool, 24.7 Cu. Ft. French Door Refrigerator, Black,2099.99
Maytag, 25.2 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,1949.99
GE, 27 Cu. Ft. French Door Refrigerator, High Gloss Black,1889.99
Whirlpool, 22.1 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Black Stainless,2099.99
KitchenAid, 20 Cu. Ft. French Door Counter-Depth Refrigerator, Black stainless steel,2499.99
KitchenAid, 25 Cu. Ft. French Door Refrigerator, Black stainless steel,2299.99
Whirlpool, 19.7 Cu. Ft. French Door Refrigerator, White,1899.99
GE, Profile Series 23.1 Cu. Ft. French Door Counter-Depth Refrigerator, Black Slate,2634.99
Whirlpool, 19.7 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Black Stainless,2099.99
LG, 22.7 Cu. Ft. Counter-Depth 4-Door French Door Refrigerator with Thru-the-Door Ice and Water, Black stainless steel,3509.99
KitchenAid, 22.1 Cu. Ft. French Door Refrigerator, White,2299.99
KitchenAid, 23.7 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,4199.99
KitchenAid, 19.6 Cu. Ft. French Door Refrigerator, White,2099.99
KitchenAid, 20 Cu. Ft. French Door Refrigerator, Black stainless steel,2199.99
KitchenAid, 19.7 Cu. Ft. French Door Refrigerator, Stainless steel,2099.99
KitchenAid, 21.9 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,3549.99
KitchenAid, 21.9 Cu. Ft. Counter-Depth French Door Refrigerator, Custom Panel Ready,3549.99
Whirlpool, 25.2 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,1899.99
LG, 27.7 Cu. Ft. French Door-in-Door Smart Wi-Fi Enabled Refrigerator, Matte Black Stainless Steel,2924.99
GE, 27 Cu. Ft. French Door Refrigerator, Stainless steel,1709.99
GE, Profile Series 22.1 Cu. Ft. Fingerprint Resistant French-Door Refrigerator with Door In Door and Hands-Free AutoFill, Stainless steel,3059.99
Whirlpool, 19.7 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,1699.99
Café, 23.1 Cu. Ft. French Door Counter-Depth Refrigerator, Matte Black,3084.99
LG, SIGNATURE 31 cu. ft. InstaView Door-in-Door Smart Wi-Fi Enabled Refrigerator, Textured Steel,6299.99
Whirlpool, 19.7 Cu. Ft. French Door Refrigerator, Black,1599.99
LG, 22.8 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator with InstaView Door-in-Door, Textured Steel,7999.0
Whirlpool, 19.7 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Black Stainless,1799.99
Whirlpool, 25.2 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,1799.99
Whirlpool, 25.2 Cu. Ft. French Door Refrigerator, White,1699.99
LG, 23.5 Cu. Ft. French Door-in-Door Counter-Depth Refrigerator with Craft Ice, PrintProof Stainless Steel,3099.99
Maytag, 21.7 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,2349.99
LG, STUDIO 23.5 Cu. Ft. French InstaView Door-in-Door Counter-Depth Smart Wi-Fi Refrigerator, Black stainless steel,3869.99
Samsung, Chef Collection 22.6 Cu. Ft. 4-Door Flex French Door Counter-Depth Fingerprint Resistant Refrigerator, Matte Black Stainless Steel,4299.0
GE, Profile Series 27.8 Cu. Ft. French Door in Door Refrigerator, Black stainless steel,3059.99
Whirlpool, 19.7 Cu. Ft. French Door Counter-Depth Refrigerator, Fingerprint Resistant Stainless Steel,3399.99
Frigidaire, 21.7 Cu. Ft. French Door Refrigerator, Stainless steel,2384.99
Whirlpool, 23.8 Cu. Ft. French Door Counter-Depth Refrigerator, Fingerprint Resistant Black Stainless,3999.99
Dacor, 23.5 Cu Ft 4-Door Flex French Door Built In Panel Ready Refrigerator with FreshZone Drawer and Precise Cooling, Panel Ready,10499.0
GE, 23.1 Cu. Ft. French Door Counter-Depth Refrigerator, Black Slate,2544.99
GE, 25.8 Cu. Ft. French Door Refrigerator, Slate,2274.99
Haier, 27 Cu. Ft. French Door Refrigerator, Black stainless steel,2069.99
Haier, 27.0 Cu. Ft. French Door Refrigerator with Fingerprint Resistance, Fingerprint Resistant Stainless Steel,1979.99
Monogram, 23.1 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,4130.0
Viking, Professional 5 Series Quiet Cool 17.8 Cu. Ft. Refrigerator, Black,8739.0
Dacor, 21.3 Cu Ft French Door Built In Panel Ready Refrigerator with FreshZone Drawer and Precise Cooling, Panel Ready,8499.0
GE, 25.8 Cu. Ft. French Door Refrigerator, Stainless steel,2274.99
Haier, 27 Cu. Ft. French Door Refrigerator, Stainless steel,1979.99
Samsung, 26 cu. ft. 3-Door French Door Refrigerator with External Water & Ice Dispenser, Fingerprint Resistant Stainless Steel,2429.99
Haier, 16.4 Cu. Ft. Quad Door Counter Depth Refrigerator with Fingerprint Resistant Stainless, Stainless steel,1599.99
Fisher & Paykel, ActiveSmart 16.8 Cu. Ft. French Door Built-In Refrigerator,,6199.0
Bertazzoni, Professional Series 13.9 Cu. Ft. Bottom-Freezer Built-In Refrigerator, White,7299.0
Dacor, 17.8 Cu Ft Column Built In Panel Ready Refrigerator with SteelCool Interior, Panel Ready,6999.0
Monogram, 20.8 Cu. Ft. French Door Built-In Refrigerator, Custom Panel Ready,8300.0
Fulgor Milano," Professional Series 19.9"" French Door Counter-Depth Refrigerator", Stainless steel,3219.0
Bosch," Benchmark 19.4 cu. ft. French Door Built-In Refrigerator in Panel Ready, Counter-Depth",,7099.99
Bertazzoni, 21 cu. Ft. 2 Bottom-Freezer French Door Refrigerator with Stainless steel no-fingerprint treatment door finish., Stainless steel,3049.0
Fisher & Paykel, ActiveSmart 16.8 Cu. Ft. French Door Built-In Refrigerator,,4599.0
Dacor, 21.6 Cu Ft Column Built In Panel Ready Refrigerator with SteelCool Interior, Panel Ready,7499.0
Sub-Zero, Classic 21 Cu. Ft. French Door Built-In Refrigerator, Custom Panel Ready,
Bertazzoni, Professional Series 13.9 Cu. Ft. Bottom-Freezer Built-In Refrigerator, Stainless steel,7699.0
Sub-Zero, Classic 21 Cu. Ft. French Door Built-In Refrigerator with Internal Dispenser, Stainless steel,
Sub-Zero, Classic 21 Cu. Ft. French Door Built-In Refrigerator with Internal Dispenser, Stainless steel,
Sub-Zero, Classic 21 Cu. Ft. French Door Built-In Refrigerator, Stainless steel,
Sub-Zero, Classic 24.2 Cu. Ft. French Door Built-In Refrigerator, Stainless steel,
Sub-Zero, Classic 24.2 Cu. Ft. French Door Built-In Refrigerator with Internal Dispenser, Custom Panel Ready,
Signature Kitchen Suite, 19.3 Cu. Ft. 4-Door French Door Built-In Refrigerator,,9799.0
Sub-Zero, Classic 24.2 Cu. Ft. French Door Built-In Refrigerator, Custom Panel Ready,
Sub-Zero, Classic 24.2 Cu. Ft. French Door Built-In Refrigerator,,
Sub-Zero, Classic 24.2 Cu. Ft. French Door Built-In Refrigerator with Internal Dispenser, Stainless steel,
Sub-Zero, Classic 24.2 Cu. Ft. French Door Built-In Refrigerator with Internal Dispenser, Stainless steel,
Sub-Zero, Classic 21 Cu. Ft. French Door Built-In Refrigerator, Stainless steel,
Sub-Zero, PRO 30.4 Cu. Ft. Side-by-Side Built-In Refrigerator, Stainless steel,
Fisher & Paykel, ActiveSmart 16.8 Cu. Ft. French Door Built-In Refrigerator, Custom Panel Ready,5999.0
Fulgor Milano, Sofia Professional Series 18.5 Cu. Ft. Bottom-Freezer Built-In Refrigerator, Stainless steel,8499.0
Sub-Zero, PRO 30.4 Cu. Ft. Side-by-Side Built-In Refrigerator with Glass Door, Stainless steel,
Sub-Zero, Classic 21 Cu. Ft. French Door Built-In Refrigerator with Internal Dispenser, Custom Panel Ready,
