brand,description,color_material,price
LG, 26.9 Cu. Ft. 4-Door French Door Refrigerator with Internal Water Dispenser and Icemaker, PrintProof Stainless Steel,1999.99
Samsung, Family Hub 22.2 Cu. Ft. Counter Depth 4-Door French Fingerprint Resistant Refrigerator, Black stainless steel,3699.99
LG, 22.5 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator with InstaView Door-in-Door and Craft Ice, PrintProof Stainless Steel,3599.99
GE, ENERGY STAR® 27.7 Cu. Ft. Fingerprint Resistant French-Door Refrigerator, Stainless steel,2724.99
KitchenAid, 23.8 Cu. Ft. French Door Counter-Depth Refrigerator, PrintShield stainless,4499.99
Bosch, 800 Series 21 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,3099.99
Samsung, Family Hub 22.2 Cu. Ft. 4-Door French Door Counter-Depth Fingerprint Resistant Refrigerator, Stainless steel,3509.99
LG, 27 Cu. Ft. InstaView French Door-in-Door Refrigerator with Ice Maker, PrintProof Stainless Steel,2199.99
LG," 29 cu. Ft. 3 Door French Door with Ice Maker, and External Water Dispenser", PrintProof Black Stainless Steel,1999.99
Samsung, 29 cu. ft. Smart 4-Door Flex™ refrigerator with Family Hub™ and Beverage Center, Fingerprint Resistant Black Stainless Steel,3959.99
Samsung, 22.6 Cu. Ft. French Door Counter-Depth Fingerprint Resistant Refrigerator with CoolSelect Pantry™, Tuscan Stainless Steel,2609.99
Samsung, 27.8 cu. ft. 4-Door French Door Refrigerator with Food Showcase Fingerprint Resistant, Black stainless steel,3149.99
Samsung, 21.8 Cu. Ft. French Door Refrigerator, White,1499.99
Samsung, 23 cu. ft. Smart Counter Depth 4-Door Flex™ Refrigerator with Family Hub™ & Beverage Center, Fingerprint Resistant Black Stainless Steel,4049.99
Samsung, 19.5 cu. ft. 3-Door French Door Refrigerator with Wi-Fi, White,1259.99
GE, 18.6 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,1709.99
Café, ENERGY STAR® 27.4 Cu. Ft. Smart Quad-Door Refrigerator, Platinum Glass,3959.99
Samsung, 27 cu. ft. Large Capacity 3-Door French Door Refrigerator with External Water & Ice Dispenser, White,1979.99
LG, 27.8 4-Door French Door Smart Wi-Fi Enabled Refrigerator PrintProof, Stainless steel,2599.99
Samsung, Family Hub 27.7 Cu. Ft. 4-Door French Door Fingerprint Resistant Refrigerator, Stainless steel,3419.99
Café, Modern Glass 27.6 Cu. Ft. 4-Door French Door Refrigerator, Platinum Glass,3779.99
Samsung, Family Hub 22.2 Cu. Ft. Counter Depth 4-Door French Door Fingerprint Resistant Refrigerator, Stainless steel,3599.99
KitchenAid, 23.8 Cu. Ft. French Door Counter-Depth Refrigerator, Black stainless steel,4599.99
Samsung, 26.5 cu. ft. Large Capacity 3-Door French Door Refrigerator with Family Hub™ and External Water & Ice Dispenser, Fingerprint Resistant Black Stainless Steel,2969.99
Whirlpool, 19.7 Cu. Ft. French Door Refrigerator, Stainless steel,1799.99
Whirlpool, 19.4 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator with Flexible Organization Spaces, Fingerprint Resistant Stainless Steel,1979.99
Samsung, 28 cu. ft. 4-Door French Door Refrigerator with FlexZone™ Drawer, Fingerprint Resistant Black Stainless Steel,2789.99
GE, ENERGY STAR® 22.1 Cu. Ft. Counter-Depth Fingerprint Resistant French-Door Refrigerator, Stainless steel,2814.99
LG, 22.5 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator with InstaView Door-in-Door and Craft Ice, PrintProof Black Stainless Steel,3599.99
Samsung, 28 cu. ft. Large Capacity 3-Door French Door Refrigerator, Fingerprint Resistant Black Stainless Steel,1799.99
Dacor," 36"" Counter-Depth Free Standing Refrigerator",,3199.0
Maytag, 24.7 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,2299.99
Whirlpool, 25.2 Cu. Ft. French Door Refrigerator with Internal Water Dispenser, Fingerprint Resistant Black Stainless,1999.99
Whirlpool, 26.8 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,2849.99
Samsung, 23 cu. ft. Smart Counter Depth 4-Door Flex™ Refrigerator with Family Hub™ & Beverage Center, Fingerprint Resistant Stainless Steel,3959.99
LG, 29.5 Cu. Ft. 4-Door French Door Refrigerator with Door-in-Door and Craft Ice, PrintProof Stainless Steel,3399.99
Bosch, 500 Series 36 in. 21 cu. ft. French 3 Door Refrigerator Counter-Depth with External Water and Ice, Stainless steel,2999.0
Whirlpool, 25.2 Cu. Ft. French Door Refrigerator with Internal Water Dispenser, Fingerprint Resistant Stainless Steel,1899.99
Café, 27.6 Cu. Ft. 4-Door French Door Refrigerator, Matte White,3689.99
LG, STUDIO 23.5 Cu. Ft. French InstaView Door-in-Door Counter-Depth Refrigerator with Craft Ice, PrintProof Stainless Steel,4445.99
Frigidaire, Gallery 26.8 Cu. Ft. French Door Refrigerator, Stainless steel,2384.99
LG, 21.8 Cu. Ft. French Door Refrigerator, Stainless steel,1699.99
Samsung, 28 cu. ft. 3-Door French Door Refrigerator with Family Hub™, Fingerprint Resistant Black Stainless Steel,2519.99
Samsung, 22.4 cu. ft. 4-Door French Door Counter Depth Refrigerator with Food Showcase, Fingerprint Resistant Black Stainless Steel,3239.99
Viking, 3 Series 22.1 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,3619.0
Samsung, 17.5 cu. ft. Counter Depth 3-Door French Door Refrigerator with WiFi and Twin Cooling Plus®, White,1169.99
Samsung, 22.6 Cu. Ft. French Door Counter-Depth Fingerprint Resistant Refrigerator with CoolSelect Pantry™, Stainless steel,2519.99
Samsung," 23 cu. ft. 4-Door Flex™ French Door Counter Depth Refrigerator with WiFi, Beverage Center and Dual Ice Maker", Fingerprint Resistant Stainless Steel,3239.99
Samsung, 22.6 Cu. Ft. 4-Door Flex French Door Counter-Depth Fingerprint Resistant Refrigerator, Stainless steel,2899.99
Samsung, 28 Cu. Ft. French Door Refrigerator with CoolSelect Pantry™, Fingerprint Resistant Stainless Steel,2429.99
LG, 23.5 Cu. Ft. French InstaView Door-in-Door Counter-Depth Refrigerator with Craft Ice, PrintProof Stainless Steel,3399.99
LG, InstaView Door-in-Door 27.8 Cu. Ft. 4-Door French Door Refrigerator, Stainless steel,3199.99
GE, Profile Series ENERGY STAR® 22.1 Cu. Ft. Fingerprint Resistant French-Door Refrigerator with Hands-Free AutoFill, Stainless steel,2879.99
Samsung, 22.6 Cu. Ft. 4-Door Flex French Door Counter-Depth Fingerprint Resistant Refrigerator, Black stainless steel,2999.99
LG," 29 cu. Ft. 3 Door French Door with Ice Maker, and External Water Dispenser", PrintProof Stainless Steel,1888.99
GE, 27.7 Cu. Ft. Fingerprint Resistant French-Door Refrigerator with Door In Door, Stainless steel,2724.99
LG, 29.7 Cu. Ft. French InstaView Door-in-Door Refrigerator with Craft Ice, Stainless steel,3399.99
LG, 22.6 Cu. Ft. French InstaView Door-in-Door Counter-Depth Refrigerator with Ice Maker, PrintProof Stainless Steel,2299.99
Samsung, 22.6 Cu. Ft. 4-Door Flex French Door Counter-Depth Refrigerator, Tuscan Stainless Steel,2999.99
LG, InstaView Door-in-Door 27.8 Cu. Ft. 4-Door French Door Refrigerator, Black stainless steel,3299.99
LG, 29.7 Cu. Ft. French InstaView Door-in-Door Refrigerator with Craft Ice, Black stainless steel,3399.99
Haier, 15 Cu. Ft. 4-Door French Door Refrigerator, Stainless steel,1259.99
Samsung, 28 Cu. Ft. French Door Fingerprint Resistant Refrigerator with CoolSelect Pantry™, Black stainless steel,2519.99
Samsung, 27.8 Cu. Ft. 4-Door Flex French Door Fingerprint Resistant Refrigerator with Food ShowCase, Stainless steel,3299.99
Samsung, BESPOKE 23 cu. ft. 4-Door Flex™ French Door Counter Depth Refrigerator with WiFi and Customizable Panel Colors, Custom Panel-Ready (Panels Sold Separately),2899.99
LG, 29.5 Cu. Ft. 4-Door French Door Refrigerator with InstaView Door-in-Door and Craft Ice, PrintProof Black Stainless Steel,3599.99
LG, 29.5 Cu. Ft. 4-Door French Door Refrigerator with InstaView Door-in-Door and Craft Ice, PrintProof Stainless Steel,3599.99
Samsung, 28 cu. ft. Large Capacity 3-Door French Door Refrigerator with AutoFill Water Pitcher, Fingerprint Resistant Black Stainless Steel,1979.99
LG, 23.5 Cu. Ft. French InstaView Door-in-Door Counter-Depth Refrigerator with Craft Ice, PrintProof Black Stainless Steel,3399.99
Whirlpool, 24.5 Cu. Ft. 4-Door French Door Refrigerator, Black stainless steel,2599.99
GE, 25.6 Cu. Ft. Fingerprint Resistant French Door Refrigerator, Stainless steel,2249.99
Insignia™, 26.6 Cu. Ft. French Door Refrigerator, Stainless steel,1499.99
GE, Profile Series ENERGY STAR® 27.7 Cu. Ft. Fingerprint Resistant French-Door Refrigerator with Hands-Free AutoFill, Stainless steel,2789.99
